ti	pi
0.00	10.0000
0.02	9.9706
0.04	9.9437
0.06	9.9216
0.08	9.9063
0.10	9.8994
0.12	9.9020
0.14	9.9145
0.16	9.9367
0.18	9.9680
0.20	10.0069
0.22	10.0517
0.24	10.1001
0.26	10.1498
0.28	10.1982
0.30	10.2430
0.32	10.2819
0.34	10.3131
0.36	10.3353
0.38	10.3477
0.40	10.3502
0.42	10.3433
0.44	10.3279
0.46	10.3058
0.48	10.2788
0.50	10.2494
0.52	10.2200
0.54	10.1931
0.56	10.1710
0.58	10.1557
0.60	10.1488
0.62	10.1513
0.64	10.1638
0.66	10.1860
0.68	10.2173
0.70	10.2562
0.72	10.3009
0.74	10.3493
0.76	10.3989
0.78	10.4473
0.80	10.4919
0.82	10.5307
0.84	10.5618
0.86	10.5839
0.88	10.5963
0.90	10.5986
0.92	10.5916
0.94	10.5761
0.96	10.5538
0.98	10.5268
1.00	10.4973
